name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,416,1,0,42,322,10,0,327,10,5,0,0,2,15,0,0,0,59,1,33,2,17,8,2,2,0,0,3
Everton,518,0,1,63,434,7,1,322,15,22,0,3,4,3,1,0,0,57,0,33,3,23,18,9,3,1,2,8
Arsenal,584,1,1,44,492,9,1,324,16,7,90,0,3,12,0,0,0,64,0,33,4,18,12,4,2,0,2,4
Crystal Palace,411,2,1,46,305,12,1,321,10,10,0,0,8,8,0,0,0,65,0,33,0,26,9,6,2,1,0,4
Watford,444,0,1,29,347,14,1,329,8,10,90,4,2,16,0,0,0,69,0,33,4,20,6,6,1,1,0,7
Chelsea,480,0,0,29,378,7,0,323,20,3,0,1,1,11,0,0,0,74,0,33,1,28,5,4,0,0,3,0
Hull City,435,2,2,29,328,12,0,326,5,10,21,3,3,14,0,0,0,45,0,33,1,15,12,6,1,0,2,3
Middlesbrough,308,2,1,37,216,14,0,324,11,8,23,3,4,1,0,0,0,59,0,33,2,19,11,6,1,1,2,5
AFC Bournemouth,298,0,0,41,221,4,0,328,10,5,0,2,1,17,0,0,0,64,0,33,10,13,10,3,0,0,1,1
Liverpool,565,2,1,53,462,16,0,330,9,12,0,2,3,19,0,0,0,53,0,33,2,14,16,9,1,0,1,2
Sunderland,360,1,1,37,279,6,0,327,14,8,0,2,3,20,0,0,0,60,0,33,1,13,12,6,2,1,1,4
Leicester City,308,0,0,47,198,12,0,321,16,3,0,0,3,5,0,0,0,71,0,33,2,18,21,2,2,0,2,2
Burnley,300,0,0,56,197,6,0,322,14,5,0,0,2,6,0,0,0,56,0,33,5,20,16,4,1,0,0,4
Manchester City,628,3,1,34,547,8,0,325,8,10,0,0,2,13,0,0,0,62,0,33,1,22,10,7,3,0,0,5
Southampton,434,2,2,41,344,6,0,325,9,6,0,0,7,10,0,0,0,59,0,33,2,13,5,4,0,1,3,1
West Bromwich Albion,312,2,2,31,212,9,1,330,15,6,0,6,2,9,0,0,0,54,0,33,1,21,8,5,0,1,3,2
Norwich City,655,3,2,19,582,9,0,328,8,19,0,3,2,2,0,0,0,48,0,33,1,19,5,1,4,1,0,14
Swansea City,383,0,0,27,292,6,0,329,13,9,90,2,7,18,0,0,0,59,0,33,6,15,10,5,0,0,0,4
Manchester United,416,1,0,44,319,9,0,323,16,7,90,1,2,4,0,0,0,79,0,33,0,23,11,6,2,1,3,3
Stoke City,361,2,3,41,264,12,1,326,12,10,0,4,4,7,0,0,0,44,0,33,2,19,6,6,3,1,0,4
