name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,381,1,1,19,299,17,0,129,9,7,90,0,4,9,0,0,0,67,0,13,1,24,6,3,1,1,4,Leicester City,404,0,0,45,312,8,0,12,3,1,1,0,0,0,63,0,3,16,12,5,1,1,2
Huddersfield Town,185,1,1,48,94,7,0,122,10,2,90,3,2,11,1,0,0,54,1,13,3,20,8,3,1,2,1,Manchester City,731,2,3,25,642,15,0,10,6,3,1,0,0,0,62,0,0,16,12,7,2,3,5
Liverpool,585,1,0,40,504,12,0,123,10,13,1,0,3,5,0,0,0,60,0,13,2,23,8,3,1,0,4,Chelsea,500,3,3,43,413,18,0,7,11,5,2,0,0,0,70,0,3,17,12,5,1,0,3
Burnley,350,0,0,51,268,9,0,130,8,6,0,4,2,1,1,0,0,57,0,13,1,12,12,3,0,2,2,Arsenal,637,1,1,33,532,14,0,14,13,3,2,0,0,0,67,0,2,14,9,8,1,0,2
Newcastle United,480,1,1,43,378,12,0,125,8,11,21,4,3,18,0,0,0,69,0,13,2,26,7,5,0,1,2,Watford,440,3,2,51,317,4,0,13,12,1,5,0,0,0,70,0,2,12,14,7,3,2,5
Southampton,661,3,1,29,563,9,0,126,6,14,0,0,6,7,0,0,0,63,0,13,1,11,8,7,4,0,5,Everton,327,0,0,48,230,4,0,13,3,0,0,0,0,0,58,0,1,18,3,3,1,0,2
Swansea City,449,0,1,42,351,9,0,127,18,5,90,3,1,2,0,0,0,71,0,13,5,15,12,6,0,4,1,AFC Bournemouth,470,0,0,43,388,13,1,6,6,1,2,0,0,0,56,0,1,18,6,2,0,2,5
Tottenham,689,2,1,15,600,17,0,128,10,18,0,2,4,19,0,0,0,52,0,13,1,20,11,10,1,1,5,West Bromwich Albion,265,1,1,65,190,10,0,13,4,6,2,0,0,0,64,0,4,16,9,3,1,4,2
Manchester United,565,1,2,30,479,19,0,124,9,12,0,2,4,3,0,0,0,77,0,13,2,22,6,7,1,0,5,Brighton,401,1,1,43,310,6,0,9,7,1,4,0,0,0,82,0,4,10,16,3,0,2,2
Crystal Palace,492,1,0,28,376,10,0,121,9,7,90,2,3,15,0,0,0,63,0,13,2,19,19,2,2,1,5,Stoke City,424,1,1,52,325,13,0,5,6,1,3,0,0,0,72,0,3,27,13,5,1,1,3
