name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell_402,52,1,0,2,43,0,0,192,0,1,90,0,0,4,0,0,0,7,0,20,0,0,0,0,0,2,0,0
Aaron_Lennon_83,0,0,0,0,0,0,0,192,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,2,1,0
Aaron_Mooy_199,0,0,0,0,0,0,0,194,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Aaron_Ramsey_14,33,0,0,1,25,1,0,196,1,0,90,0,0,12,0,0,0,6,0,20,0,3,0,1,1,5,0,0
Aaron_Wan-Bissaka_145,27,0,0,7,22,1,0,193,2,0,90,0,0,6,0,0,0,7,0,20,0,0,1,0,1,0,1,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,0,192,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,2,1,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,194,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Abdoulaye_Doucouré_390,29,0,0,0,24,0,0,200,0,0,36,1,0,15,0,0,0,4,0,20,0,1,0,0,1,1,1,0
Aboubakar_Kamara_189,17,0,1,1,14,1,0,194,0,1,45,1,0,10,0,1,0,4,0,20,0,1,0,0,0,1,1,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,0,200,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,1,1,1,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,194,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Adama_Traoré_500,15,0,0,1,11,5,0,199,1,1,58,1,1,17,0,0,0,4,0,20,0,2,1,0,3,1,0,0
Adam_Lallana_250,10,0,0,0,10,0,0,196,1,1,12,0,0,1,0,0,0,2,0,20,0,1,0,0,1,5,1,0
Adam_Masina_386,55,0,0,3,49,4,0,200,2,0,77,0,0,15,0,0,0,6,0,20,0,0,0,0,1,1,1,1
Adam_Smith_29,0,0,0,0,0,0,0,197,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,1,4,0,0
Ademola_Lookman_170,0,0,0,0,0,0,0,191,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Adrian_Mariappa_382,58,0,0,7,52,0,0,200,1,0,90,0,0,15,0,0,0,4,0,20,0,0,0,0,1,1,1,0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,0,195,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,1,0,1,0
Adrián_San Miguel del Castillo_399,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,2,0,0
Ainsley_Maitland-Niles_20,34,0,0,0,25,0,0,196,1,1,90,0,1,12,0,0,0,4,0,20,0,3,2,1,1,5,0,0
Alberto_Moreno_240,0,0,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,5,1,0
Aleksandar_Mitrovic_480,27,0,1,1,19,0,0,194,1,1,90,1,0,10,0,0,0,0,0,20,0,0,0,3,0,1,1,0
Alexander_Sørloth_153,0,0,0,0,0,0,0,193,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,1,0,1,0
Alexandre Nascimento_Costa Silva_560,4,0,0,0,3,0,0,192,0,1,17,0,0,4,0,0,0,0,0,20,0,1,0,0,0,2,0,0
Alexandre_Lacazette_22,5,0,0,0,5,1,0,196,0,0,19,1,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Alexis_Sánchez_295,0,0,0,0,0,0,0,197,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,1,4,1,0
Alex_Iwobi_15,40,1,0,1,33,3,0,196,1,2,90,0,0,12,0,0,0,5,0,20,0,5,0,0,1,5,0,0
Alex_McCarthy_328,23,0,0,0,10,0,0,198,0,0,90,0,0,13,0,0,0,5,0,20,4,0,0,0,3,1,1,0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,5,1,0
Alex_Pritchard_206,26,0,0,0,18,1,0,194,1,1,64,0,0,9,0,0,0,4,0,20,0,2,0,0,0,1,0,0
Alex_Smithies_89,0,0,0,0,0,0,0,195,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Alfie_Mawson_487,5,0,0,2,4,0,0,194,0,0,45,0,0,10,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Alfie_Whiteman_538,0,0,0,0,0,0,0,199,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Alireza_Jahanbakhsh_476,0,0,0,0,0,0,0,191,0,0,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Alisson_Ramses Becker_468,30,0,0,2,27,0,0,196,0,0,90,0,0,1,0,0,0,9,0,20,1,0,0,0,1,5,1,0
Anders_Lindegaard_485,0,0,0,0,0,0,0,192,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,2,1,0
Ander_Herrera_299,65,1,0,4,60,0,0,197,2,2,75,0,1,2,0,0,0,6,0,20,0,0,0,0,1,4,1,1
Andreas_Christensen_119,0,0,0,0,0,0,0,193,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Andreas_Pereira_481,15,0,0,0,13,0,0,197,0,0,14,0,0,2,0,0,0,0,0,20,0,0,0,0,1,4,1,0
Andrew_Robertson_247,52,0,0,2,36,1,0,196,2,0,82,0,0,1,0,0,0,8,0,20,0,2,3,0,1,5,1,1
Andrew_Surman_35,37,0,0,2,32,0,0,197,0,0,90,0,0,14,0,0,0,8,0,20,0,0,0,1,1,4,0,0
Andre_Gray_395,0,0,0,0,0,0,0,200,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,1,1,1,0
Andriy_Yarmolenko_453,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,2,0,0
Andros_Townsend_149,22,0,0,2,15,2,0,193,1,1,90,0,1,6,0,0,0,3,0,20,0,5,0,0,1,0,1,0
André Filipe_Tavares Gomes_508,35,0,0,0,31,0,0,191,3,0,71,0,0,3,0,0,0,2,0,20,0,0,0,0,0,1,0,0
André-Frank_Zambo Anguissa_512,0,0,0,0,0,0,0,194,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,1,1,0
André_Schürrle_478,0,0,0,0,0,0,0,194,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Andy_Carroll_418,11,0,1,1,6,0,0,192,2,0,45,0,0,4,0,0,0,1,0,20,0,0,0,1,0,2,0,1
Angelo_Ogbonna_403,43,0,0,8,34,0,0,192,2,0,90,0,0,4,0,0,0,4,0,20,0,1,0,0,0,2,0,0
Angel_Gomes_568,0,0,0,0,0,0,0,197,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,1,4,1,0
Angus_Gunn_452,0,0,0,0,0,0,0,198,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Anthony_Knockaert_55,0,0,0,0,0,0,0,191,0,0,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Anthony_Martial_301,46,1,0,0,38,1,0,197,0,2,81,1,1,2,0,0,0,2,0,20,0,0,0,0,1,4,1,0
Anthony_Pilkington_103,0,0,0,0,0,0,0,195,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Antonio_Rüdiger_118,71,0,0,5,65,0,0,193,0,0,90,0,0,7,0,0,0,5,0,20,0,0,0,1,1,0,0,0
Antonio_Valencia_288,0,0,0,0,0,0,0,197,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,1,4,1,0
Arijanet_Muric_529,0,0,0,0,0,0,0,198,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,3,1,0,0
Aron_Gunnarsson_102,23,0,0,10,15,0,0,195,1,1,90,0,1,11,0,0,0,2,0,20,0,0,2,0,1,0,0,0
Arthur_Masuaku_410,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,2,0,0
Artur_Boruc_25,0,0,0,0,0,0,0,197,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,1,4,0,0
Ashley Darel Jazz_Richards_96,0,0,0,0,0,0,0,195,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Ashley_Barnes_85,23,1,3,0,17,0,0,192,3,4,90,0,0,19,0,0,0,3,0,20,0,1,0,3,0,2,1,1
Ashley_Westwood_80,45,1,0,1,39,1,0,192,0,3,90,0,1,19,0,0,0,9,0,20,0,0,0,0,0,2,1,0
Ashley_Williams_159,0,0,0,0,0,0,0,191,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Ashley_Young_293,38,0,0,3,33,2,0,197,2,0,90,1,0,2,0,0,0,4,0,20,0,0,0,0,1,4,1,1
Asmir_Begovic_24,20,0,0,1,12,0,0,197,0,0,90,0,0,14,0,0,0,11,0,20,4,0,0,0,1,4,0,0
Aymeric_Laporte_268,105,0,0,3,100,0,0,198,1,0,90,0,0,16,0,0,0,8,0,20,0,0,0,1,3,1,0,0
Ayoze_Pérez_326,20,0,0,2,14,0,0,200,2,0,90,0,0,18,0,0,0,2,0,20,0,1,2,0,1,1,0,0
Bakary_Sako_148,0,0,0,0,0,0,0,193,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,1,0,1,0
