name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,20,0,0,4,14,1,0,360,1,21762,0,90,0,1,17,0,0,0,6,0,36,0,3,0,0,0,1,43,0
Aaron_Lennon,0,0,0,0,0,0,0,359,0,21430,0,0,0,0,16,0,0,0,0,0,36,0,0,0,0,0,1,12,0
Aaron_Ramsey,60,0,1,1,53,2,0,351,0,21292,1,90,0,0,11,0,0,0,6,0,36,0,2,1,0,0,2,3402,0
Aaron_Ramsey,55,1,0,2,48,0,0,257,2,21291,1,90,0,0,13,0,0,0,6,0,36,0,0,1,2,2,0,3402,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,358,0,21935,0,0,0,0,10,0,0,0,0,0,36,0,0,0,0,0,5,16,0
Abdoulaye_Doucour�,85,0,0,4,73,1,0,356,2,21790,3,90,0,0,8,0,0,0,13,0,36,0,2,1,0,0,3,25,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,354,0,21367,0,0,0,0,12,0,0,0,0,0,36,0,0,0,0,0,3,9,0
Abel_Hern�ndez,18,0,0,0,15,1,0,355,0,21451,2,90,0,0,15,0,0,0,3,0,36,0,1,2,1,2,0,4795,0
Adama_Diomande,0,0,0,0,0,0,0,355,0,21452,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,1046,0
Adama_Traor�,8,0,0,0,6,0,0,354,1,21878,0,56,0,1,4,0,0,0,4,0,36,0,3,0,0,0,3,36,0
Adam_Clayton,69,0,0,6,64,0,0,354,3,21571,0,90,0,0,4,0,0,0,4,0,36,0,0,3,0,0,3,475,0
Adam_Federici,0,0,0,0,0,0,0,352,0,21317,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,14,0
Adam_Forshaw,17,0,0,0,16,1,0,354,2,21574,0,55,0,0,4,0,0,0,2,0,36,0,1,0,0,0,3,44,0
Adam_Lallana,18,0,0,2,13,0,0,357,0,21493,1,22,0,0,13,0,0,0,5,0,36,0,2,0,0,0,0,11821,0
Adam_Matthews,0,0,0,0,0,0,0,355,0,21653,0,0,0,0,7,0,0,0,0,0,36,0,0,0,0,2,0,0,0
Adam_Reach,0,0,0,0,0,0,0,354,0,21573,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,3,0
Adam_Smith,55,1,0,6,46,1,0,352,1,21321,2,90,0,1,14,0,0,0,6,0,36,0,1,1,1,2,2,14211,0
