name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,484,0,0,27,414,5,0,48,7,7,90,2,6,19,0,0,0,51,0,5,1,7,3,5,0,0,2,1
Everton,510,0,2,47,415,4,0,50,14,5,0,3,1,12,1,0,0,63,0,5,3,14,14,2,0,0,1,3
Huddersfield Town,488,0,0,47,386,7,0,43,6,10,90,3,10,9,1,0,0,62,0,5,0,8,8,6,1,1,1,3
Arsenal,518,1,2,50,410,6,0,49,15,8,90,2,2,5,0,0,0,68,0,5,4,13,11,5,0,0,3,2
Watford,311,2,2,53,236,10,0,47,8,5,90,2,1,11,1,0,0,46,0,5,4,20,3,5,0,1,2,1
AFC Bournemouth,649,2,0,25,574,18,1,41,5,9,0,1,0,3,0,0,0,59,0,5,0,18,5,5,2,1,0,3
Liverpool,677,1,1,17,582,13,0,44,7,32,0,1,6,4,0,0,0,53,0,5,2,13,6,14,1,1,1,9
Burnley,276,1,1,56,182,5,0,44,9,4,0,5,1,10,0,0,0,64,0,5,8,6,5,1,1,0,2,3
West Bromwich Albion,289,1,1,38,212,9,0,48,15,5,90,3,4,20,0,0,0,48,0,5,1,9,7,3,0,1,2,1
Leicester City,346,0,0,51,247,12,0,43,6,7,0,1,1,8,0,0,0,65,0,5,2,15,3,4,1,0,1,1
Manchester City,637,3,0,34,576,13,0,47,6,22,0,0,5,18,0,0,0,55,0,5,1,7,11,10,6,0,0,10
Newcastle United,286,4,4,48,201,6,0,45,13,11,0,2,3,15,0,0,0,47,0,5,3,15,7,6,2,1,3,3
Southampton,503,0,0,49,406,9,1,42,13,11,0,1,2,6,0,0,0,76,0,5,3,16,8,4,1,0,1,4
Swansea City,256,0,0,54,164,10,0,46,9,1,90,0,0,17,0,0,0,51,0,5,8,14,10,4,0,0,3,0
Manchester United,475,3,1,29,403,9,1,50,15,10,13,2,3,7,0,0,0,69,0,5,3,21,9,5,4,1,1,7
Chelsea,533,1,1,38,417,14,1,49,11,10,1,4,2,1,0,0,0,72,1,5,2,18,9,3,0,1,1,4
Crystal Palace,407,2,3,40,311,11,0,42,14,13,90,0,1,14,0,0,0,65,0,5,3,14,9,9,0,1,5,3
Brighton,392,1,0,46,290,13,2,41,12,6,76,1,1,2,0,0,0,56,0,5,1,11,13,5,1,0,0,1
Tottenham,755,0,0,14,673,6,0,46,11,19,90,0,5,16,0,0,0,58,0,5,0,18,7,14,0,1,1,8
Stoke City,404,1,1,37,304,11,1,45,11,12,0,1,3,13,0,0,0,54,0,5,1,25,10,7,1,0,1,4
