name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,604,0,0,12,508,8,0,90,5,10,0,3,6,3,1,0,0,53,0,9,2,10,7,5,3,0,1,1,2
Aaron_Lennon,291,0,0,48,203,6,0,82,14,4,0,2,4,1,0,0,0,63,1,9,9,12,7,3,5,2,1,1,1
Aaron_Mooy,206,1,0,69,114,12,0,83,10,3,90,2,1,12,0,0,0,61,0,9,2,11,15,0,1,2,1,4,1
Aaron_Ramsdale,388,0,0,52,280,6,0,87,10,5,0,1,1,15,0,0,0,59,0,9,1,11,12,2,2,1,0,1,1
Aaron_Ramsey,618,5,4,31,516,11,0,82,14,19,90,1,2,7,0,0,0,61,0,9,1,8,9,8,5,2,0,1,9
Abdoulaye_Doucouré,403,2,1,33,325,6,0,81,16,11,90,3,4,5,0,0,0,61,0,9,4,21,8,6,2,4,0,3,3
Adam_Lallana,625,1,0,19,543,10,0,89,8,8,0,2,4,17,0,0,0,65,0,9,1,23,9,1,1,4,0,1,6
Adam_Legzdins,220,0,0,52,143,6,0,84,6,3,0,2,1,11,1,0,0,45,0,9,7,9,9,3,0,3,0,3,0
Ahmed El-Sayed_Hegazi,305,1,1,50,205,1,0,86,8,4,90,1,2,14,0,0,0,55,0,9,5,20,6,4,0,1,0,1,2
Ahmed_Musa,381,3,2,53,278,11,0,88,9,10,0,3,5,16,0,0,0,61,0,9,3,15,13,3,2,1,0,1,5
Aleksandar_Kolarov,802,4,5,25,723,17,0,84,10,9,0,1,2,4,0,0,0,55,0,9,0,16,4,4,0,3,1,2,7
Aleksandar_Mitrovic,454,0,0,39,361,5,0,85,12,5,12,0,1,6,0,0,0,61,0,9,0,16,8,1,0,1,1,4,2
Alex_McCarthy,590,2,2,39,493,14,0,86,10,16,0,2,3,19,0,0,0,74,0,9,2,9,11,11,0,1,1,0,5
Alfie_Mawson,457,0,0,33,371,7,0,88,6,13,90,0,6,9,0,0,0,55,0,9,5,21,6,8,2,1,1,0,3
Ander_Herrera,740,1,0,31,642,13,0,83,12,5,90,3,4,8,0,0,0,61,0,9,1,24,4,3,1,2,0,2,2
Andreas_Christensen,462,1,1,46,375,14,0,81,13,12,0,6,3,18,0,0,0,68,0,9,3,17,13,5,2,4,1,2,4
Andros_Townsend,364,0,0,47,259,13,0,85,14,8,90,1,3,13,0,0,0,63,0,9,2,16,12,7,0,1,0,2,0
Anthony_Knockaert,340,3,2,69,253,6,0,90,13,5,83,1,2,20,0,0,0,69,0,9,2,16,5,1,3,0,0,0,2
Bamidele_Alli,357,3,1,42,274,6,0,89,2,7,90,1,0,10,0,0,0,67,0,9,6,28,17,5,1,4,1,0,1
Bojan_Krkic Perez,405,2,1,20,287,10,0,87,17,10,0,4,6,2,1,0,0,73,0,9,1,18,9,6,2,1,1,0,1
