name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,393,1,1,30,306,14,0,300,13,12,90,1,6,4,0,0,0,51,0,30,1,9,9,6,0,2,4,Burnley,361,1,0,52,279,2,0,7,6,3,3,0,0,0,42,0,4,11,5,2,3,2,4
Huddersfield Town,682,1,1,14,605,7,0,295,9,26,68,2,13,16,0,0,0,54,0,30,0,16,6,15,0,2,4,Swansea City,173,0,1,85,91,4,0,9,0,3,2,0,0,0,46,1,4,10,9,0,0,3,0
AFC Bournemouth,332,1,1,42,226,19,0,292,10,9,0,0,3,17,0,0,0,63,0,30,4,20,10,7,1,1,3,Tottenham,556,3,1,37,465,18,0,7,9,3,2,0,0,0,62,0,2,21,13,1,4,1,8
Arsenal,502,4,3,44,417,8,1,291,12,10,0,5,1,18,1,0,1,63,0,30,4,13,7,4,3,2,7,Watford,324,0,2,31,246,10,0,9,6,3,2,0,1,0,57,0,4,19,3,5,0,1,4
Everton,422,0,2,32,327,7,0,294,10,8,0,2,3,3,0,1,0,56,0,30,4,14,5,7,2,0,4,Brighton,302,0,0,44,192,1,0,14,5,1,3,1,0,1,44,1,2,10,9,5,0,1,4
West Bromwich Albion,364,0,0,25,269,7,0,299,6,3,90,1,1,9,0,0,0,53,0,30,3,17,6,3,1,1,2,Leicester City,472,3,0,36,364,12,0,7,13,2,3,0,0,0,67,0,1,18,7,5,4,3,7
Newcastle United,305,3,1,53,188,7,0,297,10,8,0,1,1,14,0,0,0,60,0,30,2,14,8,2,3,0,5,Southampton,509,1,1,16,375,11,1,10,5,1,3,0,0,0,62,0,2,15,7,3,0,2,2
Manchester United,281,1,1,70,192,6,0,296,10,4,90,3,3,10,0,0,0,62,0,30,2,16,10,1,2,2,2,Liverpool,585,1,1,22,485,12,0,16,12,0,0,0,0,0,56,0,0,22,11,5,1,1,3
Chelsea,591,6,6,31,516,19,1,293,8,21,90,2,7,6,0,0,0,55,0,30,1,18,9,9,2,1,9,Crystal Palace,358,2,1,53,284,14,0,9,6,2,4,0,0,0,57,0,7,17,9,5,1,2,2
Stoke City,248,0,0,26,167,12,0,298,6,3,0,2,1,11,0,0,0,47,0,30,4,16,6,1,0,1,1,Manchester City,850,3,2,24,763,9,0,8,15,4,1,0,0,0,60,0,1,19,9,8,2,0,6
