name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,22,0,0,7,16,0,443,0,277,1,15874,1,90,0,10,0,0,0,2,0,28,0,1,1,0,1,4,11657,0
Aaron_Lennon,20,0,0,0,12,0,153,0,274,2,15584,1,90,0,14,0,0,0,4,0,28,0,7,0,0,1,1,1047,0
Aaron_Mooy,0,0,0,0,0,0,172,0,280,0,15603,0,0,0,19,0,0,0,0,0,28,0,0,0,0,2,1,3784,0
Aaron_Ramsdale,0,0,0,0,0,0,549,0,272,0,15980,0,0,0,13,0,0,0,0,0,28,0,0,0,0,2,2,14,0
Aaron_Ramsey,48,0,0,0,41,2,18,0,271,3,15449,1,90,0,11,0,0,0,6,0,28,0,2,0,0,3,0,5654,0
Aaron_Wan-Bissaka,16,0,0,8,6,0,579,0,275,0,16010,0,90,0,17,0,0,0,8,0,28,0,2,1,0,1,0,14,0
Abdelhamid_Sabiri,0,0,0,0,0,0,522,0,280,0,15953,0,0,0,19,0,0,0,0,0,28,0,0,0,0,2,1,13,0
Abdoulaye_Doucouré,72,0,0,6,58,1,414,0,279,1,15845,1,90,0,7,0,0,0,14,0,28,0,2,0,1,0,1,92655,0
Adam_Federici,0,0,0,0,0,0,31,0,272,0,15462,0,0,0,13,0,0,0,0,0,28,0,0,0,0,2,2,684,0
Adam_Lallana,16,0,0,0,16,0,228,0,277,0,15659,0,8,0,20,0,0,0,0,0,28,0,0,0,1,1,4,312,0
Adam_Legzdins,0,0,0,0,0,0,545,0,274,0,15976,0,0,0,14,0,0,0,0,0,28,0,0,0,0,1,1,159,0
Adam_Smith,27,0,0,3,23,0,35,0,272,0,15466,1,45,0,13,0,0,0,5,0,28,0,1,0,1,2,2,194,0
Ademola_Lookman,0,0,0,0,0,0,157,0,279,0,15588,0,0,0,18,0,0,0,0,0,28,0,0,0,0,0,1,1,0
Adrian_Mariappa,43,0,0,10,29,0,405,0,279,0,15836,0,90,0,7,0,0,0,9,0,28,0,0,2,0,0,1,17281,0
Adrien Sebastian_Perruchet Silva,0,0,0,0,0,0,589,0,276,0,16020,0,0,0,15,0,0,0,0,0,28,0,0,0,0,1,1,436,0
Adrián_San Miguel del Castillo,35,0,0,3,12,0,438,0,277,0,15869,0,90,0,10,0,0,0,17,0,28,8,0,0,0,1,4,5314,0
Ahmed El-Sayed_Hegazi,41,0,0,11,29,0,468,0,280,0,15899,0,90,0,8,0,0,0,7,0,28,0,1,1,0,2,1,54275,0
Ahmed_Musa,0,0,0,0,0,0,207,0,276,0,15638,0,0,0,15,0,0,0,0,0,28,0,0,0,0,1,1,2,0
Aiden_O'Neill,0,0,0,0,0,0,623,0,274,0,16054,0,0,0,14,0,0,0,0,0,28,0,0,0,0,1,1,103,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,546,0,271,0,15977,0,0,0,11,0,0,0,0,0,28,0,0,0,0,3,0,203,0
Alberto_Moreno,8,0,0,1,5,0,216,0,277,0,15647,0,3,0,20,0,0,0,2,0,28,0,2,1,0,1,4,677,0
Aleksandar_Dragovic,0,0,0,0,0,0,541,0,276,0,15972,0,0,0,15,0,0,0,0,0,28,0,0,0,0,1,1,2162,0
Aleksandar_Kolarov,0,0,0,0,0,0,243,0,271,0,15674,0,0,0,1,0,0,0,0,0,28,0,0,0,0,3,0,2,0
Aleksandar_Mitrovic,0,0,0,0,0,0,303,0,272,0,15734,0,0,0,2,0,0,0,0,0,28,0,0,0,0,2,2,32,0
Alexander_Sørloth,24,0,0,0,11,2,620,0,275,1,16051,0,90,0,17,0,0,0,4,0,28,0,2,0,0,1,0,1243,0
Alexandre_Lacazette,0,0,0,0,0,0,28,0,271,0,15459,0,0,0,11,0,0,0,0,0,28,0,0,0,0,3,0,507,0
Alexis_Sánchez,38,0,0,1,29,1,14,0,278,0,15445,1,80,0,5,0,0,0,5,0,28,0,1,1,1,1,2,5608,0
Alex_Iwobi,0,0,0,0,0,0,21,0,271,0,15452,0,0,0,11,0,0,0,0,0,28,0,0,0,0,3,0,1810,0
Alex_McCarthy,31,0,0,3,15,0,305,0,274,0,15736,0,90,0,4,0,0,0,9,0,28,2,0,0,0,1,1,769,0
Alex_Oxlade-Chamberlain,56,1,0,1,51,4,19,0,277,0,15450,4,90,0,20,0,0,0,6,0,28,0,2,1,1,1,4,5575,0
