name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell_402,432,1,1,38,350,10,402,0,160,10,265878,7,0,2,7,0,0,0,77,0,16,2,20,10,5,2,3,438143,1
Aaron_Lennon_83,309,1,1,29,199,2,83,1,153,11,215726,9,18,2,3,0,0,0,48,0,16,1,12,4,4,0,1,46502,2
Aaron_Mooy_199,322,0,0,41,216,3,199,0,151,20,235016,5,90,0,1,0,0,0,60,0,16,2,17,6,5,0,1,58798,4
Aaron_Ramsey_14,524,4,3,27,424,3,14,0,151,13,231245,13,0,2,10,0,0,0,72,0,16,0,16,5,8,0,1,1186668,5
Aaron_Wan-Bissaka_145,472,1,0,30,376,10,145,0,160,8,226139,6,90,0,19,0,0,0,74,0,16,3,22,16,2,2,3,153191,2
Abdoulaye_Doucouré_390,324,1,1,42,223,11,390,0,156,13,264969,8,90,4,8,1,0,1,73,0,16,3,24,8,7,2,2,67461,1
Aboubakar_Kamara_189,377,0,0,35,287,11,189,1,158,15,220553,7,45,3,14,0,0,0,62,1,16,7,14,5,4,1,4,156901,1
Adama_Traoré_500,424,1,0,42,340,4,500,1,159,17,231892,8,59,2,15,0,0,0,71,0,16,3,13,6,5,2,1,375900,5
Adam_Lallana_250,634,0,0,29,532,13,250,0,152,11,227701,6,25,2,2,0,0,0,54,0,16,2,14,4,4,4,0,477479,1
Adam_Smith_29,424,0,0,37,327,6,29,0,152,9,197075,2,0,3,12,0,0,0,51,0,16,1,12,7,3,4,0,368936,2
Ademola_Lookman_170,414,1,1,38,322,5,170,0,156,13,285621,8,24,4,18,0,1,0,65,0,16,2,24,3,5,2,2,282544,1
Adrien Sebastian_Perruchet Silva_231,410,1,1,32,326,12,231,1,157,12,244246,7,0,3,17,0,0,0,67,0,16,0,23,8,5,2,0,84537,3
Alexis_Sánchez_295,625,5,4,38,541,10,295,2,158,11,228104,13,0,4,9,1,0,0,67,0,16,3,18,1,6,1,4,164193,1
Alex_McCarthy_328,441,0,0,49,329,4,328,0,154,10,246586,8,90,0,5,0,0,0,55,0,16,3,13,7,6,0,1,80769,2
Alex_Smithies_89,252,1,1,44,151,10,89,0,154,9,232245,10,0,4,16,0,0,0,67,0,16,1,17,5,8,0,1,67443,2
Alfie_Whiteman_538,575,1,0,48,465,11,538,1,157,7,239028,5,0,1,11,0,0,0,73,0,16,3,21,8,4,2,0,449888,1
Alireza_Jahanbakhsh_476,513,2,2,37,387,9,476,0,153,11,232635,12,0,1,4,0,0,0,55,0,16,3,11,4,12,0,1,97461,0
Andreas_Christensen_119,411,1,1,53,337,10,119,1,155,12,232784,7,0,1,13,0,0,0,51,0,16,4,19,6,1,0,2,130511,2
Arijanet_Muric_529,642,0,0,19,565,19,529,0,155,11,202039,9,0,2,6,0,0,0,53,0,16,3,26,13,6,0,2,475737,0
Ayoze_Pérez_326,425,0,0,34,336,8,326,1,159,10,246739,8,90,0,20,0,0,0,65,1,16,4,13,10,4,2,1,81663,
