name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell_402,49,0,0,3,44,0,0,109,0,3,90,0,0,4,0,0,0,5,0,11,0,1,1,1,2,4,1,0
Aaron_Lennon_83,15,0,0,1,12,0,0,109,0,0,74,0,0,19,0,0,0,5,0,11,0,2,0,0,2,4,0,0
Aaron_Mooy_199,49,0,0,1,36,1,0,106,0,2,90,0,2,9,0,0,0,11,0,11,0,1,4,1,0,1,1,0
Aaron_Ramsey_14,11,0,0,0,10,0,0,101,0,0,17,0,0,12,0,0,0,0,0,11,0,0,0,0,1,1,1,0
Aaron_Wan-Bissaka_145,24,0,0,7,19,1,0,104,0,0,90,0,0,6,0,0,0,4,0,11,0,4,0,0,1,3,0,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,106,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,1,1,0
Abdoulaye_Doucouré_390,70,1,0,4,58,0,0,108,0,1,90,0,0,15,0,0,0,5,0,11,0,1,0,0,0,1,0,0
Aboubakar_Kamara_189,0,0,0,0,0,0,0,106,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,1,0,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,106,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,1,1,0
Adama_Traoré_500,1,0,0,1,1,1,0,110,0,0,6,0,0,17,0,0,0,0,0,11,0,1,0,0,3,2,1,0
Adam_Lallana_250,0,0,0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,1,0,0
Adam_Masina_386,0,0,0,0,0,0,0,108,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,1,0,0
Adam_Smith_29,41,0,0,4,37,0,0,102,0,1,90,0,0,14,0,0,0,6,0,11,0,1,0,0,2,1,1,1
Ademola_Lookman_170,7,0,0,0,7,0,0,105,0,0,22,0,0,3,0,0,0,1,0,11,0,1,0,0,1,3,1,0
Adrian_Mariappa_382,46,0,2,10,37,0,0,108,0,0,90,0,0,15,0,0,0,1,0,11,0,0,1,1,0,1,0,0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,0,103,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,1,0,0,0
Adrián_San Miguel del Castillo_399,0,0,0,0,0,0,0,109,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,2,4,1,0
Ainsley_Maitland-Niles_20,0,0,0,0,0,0,0,101,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,1,1,1,0
Alberto_Moreno_240,0,0,0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,1,0,0
Aleksandar_Mitrovic_480,31,0,0,1,19,1,0,106,0,0,90,3,0,10,0,0,0,2,0,11,0,3,0,1,0,1,0,1
Alexander_Sørloth_153,0,0,0,0,0,0,0,104,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,1,3,0,0
Alexandre_Lacazette_22,21,0,1,1,17,0,0,101,2,2,90,0,0,12,0,0,0,1,0,11,0,3,1,1,1,1,1,1
Alexis_Sánchez_295,23,0,0,0,18,1,0,102,3,2,77,3,0,2,0,0,0,0,0,11,0,3,1,0,2,1,0,0
Alex_Iwobi_15,18,0,0,0,12,2,0,101,0,1,22,0,1,12,0,0,0,3,0,11,0,1,0,0,1,1,1,0
Alex_McCarthy_328,23,0,0,1,13,1,0,107,0,0,90,0,0,13,0,0,0,4,0,11,3,0,0,0,1,6,0,0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,1,0,0
Alex_Pritchard_206,31,0,0,2,23,0,0,106,1,0,81,2,0,9,0,0,0,6,0,11,0,2,2,1,0,1,1,0
Alex_Smithies_89,0,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1,0,1,0
Alfie_Mawson_487,0,0,0,0,0,0,0,106,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,1,0,0
Alfie_Whiteman_538,0,0,0,0,0,0,0,110,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,0,3,2,0,0
Alireza_Jahanbakhsh_476,17,0,0,2,10,0,0,105,1,0,90,0,0,8,0,0,0,4,0,11,0,5,0,0,1,3,0,0
Alisson_Ramses Becker_468,27,0,0,2,21,0,1,101,0,0,90,0,0,1,0,0,0,7,0,11,3,0,0,0,1,1,0,0
Anders_Lindegaard_485,0,0,0,0,0,0,0,109,0,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,2,4,0,0
Ander_Herrera_299,20,0,0,4,18,0,0,102,1,0,34,0,0,2,0,0,0,3,0,11,0,1,0,2,2,1,0,0
Andreas_Christensen_119,0,0,0,0,0,0,0,104,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,1,3,1,0
Andreas_Pereira_481,0,0,0,0,0,0,0,102,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,2,1,0,0
Andrew_Robertson_247,56,0,0,1,40,2,0,101,0,0,90,0,0,1,0,0,0,8,0,11,0,1,1,0,1,1,0,0
Andrew_Surman_35,3,0,0,0,1,0,0,102,0,0,1,0,0,14,0,0,0,0,0,11,0,0,0,0,2,1,1,0
Andre_Gray_395,2,0,0,0,2,0,0,108,1,0,24,0,0,15,0,0,0,1,0,11,0,0,0,0,0,1,0,1
Andriy_Yarmolenko_453,0,0,0,0,0,0,0,109,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,2,4,1,0
Andros_Townsend_149,23,0,0,2,18,2,0,104,1,0,90,0,0,6,0,0,0,10,0,11,0,3,0,0,1,3,0,0
André Filipe_Tavares Gomes_508,74,0,0,0,64,2,0,105,4,1,90,0,0,3,0,0,0,10,0,11,0,1,1,0,1,3,1,0
André-Frank_Zambo Anguissa_512,34,0,0,4,25,1,0,106,0,0,90,0,0,10,0,0,0,5,0,11,0,2,1,0,0,1,0,0
André_Schürrle_478,35,0,0,0,29,1,0,106,3,0,90,2,0,10,0,0,0,4,0,11,0,6,0,1,0,1,0,0
Andy_Carroll_418,0,0,0,0,0,0,0,109,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,2,4,1,0
Angelo_Ogbonna_403,1,0,0,1,1,0,0,109,0,0,1,0,0,4,0,0,0,0,0,11,0,0,0,0,2,4,1,0
Angus_Gunn_452,0,0,0,0,0,0,0,107,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,1,6,0,0
Anthony_Knockaert_55,9,0,0,1,8,0,0,105,1,1,27,0,0,8,0,0,0,3,0,11,0,3,0,0,1,3,0,0
Anthony_Martial_301,29,2,0,2,22,1,0,102,0,2,90,0,0,2,0,0,0,4,0,11,0,4,0,0,2,1,0,0
Anthony_Pilkington_103,0,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1,0,1,0
Antonio_Rüdiger_118,93,0,0,3,90,0,0,104,0,0,90,0,0,7,0,0,0,3,0,11,0,0,0,0,1,3,1,0
Antonio_Valencia_288,0,0,0,0,0,0,0,102,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,2,1,0,0
Arijanet_Muric_529,0,0,0,0,0,0,0,107,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,1,6,1,0
Aron_Gunnarsson_102,31,0,0,5,18,0,0,103,0,0,90,0,0,11,0,0,0,6,0,11,0,0,0,0,1,0,1,0
Arthur_Masuaku_410,0,0,0,0,0,0,0,109,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,2,4,1,0
Artur_Boruc_25,0,0,0,0,0,0,0,102,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,2,1,1,0
Ashley Darel Jazz_Richards_96,0,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1,0,1,0
Ashley_Barnes_85,6,0,0,0,4,0,0,109,1,0,18,1,0,19,0,0,0,2,0,11,0,1,0,0,2,4,0,1
Ashley_Westwood_80,36,1,0,3,28,1,1,109,0,1,90,0,0,19,0,0,0,6,0,11,0,0,0,0,2,4,0,0
Ashley_Williams_159,0,0,0,0,0,0,0,105,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,1,3,1,0
Ashley_Young_293,44,0,0,3,37,1,0,102,0,0,90,0,0,2,0,0,0,9,0,11,0,0,0,1,2,1,0,1
Asmir_Begovic_24,30,0,0,1,16,0,1,102,0,0,90,0,0,14,0,0,0,6,0,11,4,0,0,0,2,1,1,0
Aymeric_Laporte_268,101,0,0,1,92,0,1,107,0,0,90,0,0,16,0,0,0,7,0,11,0,0,0,0,1,6,1,0
Ayoze_Pérez_326,18,0,0,1,13,0,0,108,1,0,45,0,0,18,0,0,0,2,0,11,0,0,0,0,0,1,1,0
Bakary_Sako_148,0,0,0,0,0,0,0,104,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,1,3,0,0
Bamidele_Alli_365,0,0,0,0,0,0,0,110,0,0,0,0,0,20,0,0,0,0,0,11,0,0,0,0,3,2,0,0
Barry_Douglas_424,0,0,0,0,0,0,0,110,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,0,3,2,1,0
Beni_Baningime_174,0,0,0,0,0,0,0,105,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,1,3,1,0
Benjamin_Chilwell_219,39,1,0,4,26,1,0,103,2,1,90,0,1,5,0,0,0,4,0,11,0,1,0,0,1,0,0,0
Benjamin_Mendy_267,78,1,0,4,71,1,0,107,2,2,90,0,2,16,0,0,0,13,0,11,0,3,1,0,1,6,1,0
Ben_Davies_356,56,0,0,3,44,0,0,110,1,0,90,0,1,20,0,0,0,6,0,11,0,2,2,0,3,2,0,0
Ben_Foster_445,24,0,0,3,8,0,0,108,0,0,90,0,0,15,0,0,0,10,0,11,1,0,0,0,0,1,0,0
Ben_Gibson_491,0,0,0,0,0,0,0,109,0,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,2,4,0,0
Ben_Hamer_190,0,0,0,0,0,0,0,106,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,1,1,0
Ben_Mee_70,36,0,0,12,24,0,0,109,1,0,90,0,0,19,0,0,0,11,0,11,0,0,2,0,2,4,0,0
Ben_Wilmot_544,0,0,0,0,0,0,0,108,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,1,0,0
Beram_Kayal_57,30,0,0,2,18,1,0,105,2,1,77,0,0,8,0,0,0,5,0,11,0,1,0,0,1,3,0,0
Bernardo Mota_Veiga de Carvalho e Silva_276,56,1,0,1,52,4,0,107,1,2,90,0,0,16,0,0,0,5,0,11,0,3,0,0,1,6,1,0
Bernardo_Fernandes da Silva Junior_440,0,0,0,0,0,0,0,105,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,1,3,0,0
Bernard_Anício Caldeira Duarte_507,26,1,0,1,22,1,0,105,1,2,67,0,0,3,0,0,0,4,0,11,0,3,1,0,1,3,1,0
Bernd_Leno_2,27,0,0,2,23,0,0,101,0,0,90,0,0,12,0,0,0,7,0,11,3,0,0,0,1,1,1,0
Bobby_Reid_110,15,0,0,2,9,0,0,103,0,0,64,0,0,11,0,0,0,3,0,11,0,0,0,0,1,0,1,0
Bonatini Lohner Maia_Bonatini_438,12,0,0,0,11,0,0,110,0,0,28,0,0,17,0,0,0,4,0,11,0,1,1,0,3,2,1,0
Brahim_Diaz_278,0,0,0,0,0,0,0,107,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,1,6,1,0
Brian_Murphy_537,0,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,1,0,1,0
Bright_Enobakhare_436,0,0,0,0,0,0,0,110,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,0,3,2,1,0
Bruno_Ecuele Manga_92,34,0,0,9,20,0,0,103,0,0,90,0,0,11,0,0,0,7,0,11,0,0,0,0,1,0,1,0
Bruno_Saltor Grau_50,26,0,0,2,21,0,0,105,1,0,90,0,0,8,0,0,0,3,0,11,0,0,0,0,1,3,0,0
Caglar_Söyüncü_515,0,0,0,0,0,0,0,103,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,1,0,0,0
Callum_Hudson-Odoi_131,0,0,0,0,0,0,0,104,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,1,3,1,0
Callum_Paterson_101,22,0,0,1,10,1,0,103,3,1,90,2,0,11,0,0,0,3,0,11,0,1,1,2,1,0,1,0
Callum_Wilson_43,21,0,1,0,13,1,0,102,3,3,90,0,0,14,0,0,0,2,0,11,0,0,0,0,2,1,1,1
