name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Aaron_Cresswell_402,37,0,0,5,31,0,0,252,0,1,90,0,1,7,0,0,0,3,0,26,0,0,0,0,1,0,0
Aaron_Lennon_83,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Aaron_Mooy_199,58,1,0,1,47,0,0,254,1,2,90,0,0,1,0,0,0,9,0,26,0,8,0,1,1,1,0
Aaron_Ramsey_14,0,0,0,0,0,0,0,254,0,0,0,0,0,10,0,0,0,0,0,26,0,0,0,0,2,0,0
Aaron_Wan-Bissaka_145,37,0,0,4,27,2,0,252,1,0,90,0,0,19,0,0,0,3,0,26,0,2,0,0,1,1,1
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,0,251,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,3,0,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Abdoulaye_Doucouré_390,39,0,0,4,33,0,0,259,3,1,90,0,0,8,0,0,0,7,0,26,0,3,0,0,1,1,0
Aboubakar_Kamara_189,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Adama_Diakhaby_471,29,0,2,0,25,1,0,254,0,1,90,0,0,1,0,0,0,5,0,26,0,3,0,1,1,1,1
Adama_Traoré_500,7,1,0,0,6,1,0,260,0,1,9,0,1,15,0,0,0,1,0,26,0,1,0,0,1,1,0
Adam_Lallana_250,0,0,0,0,0,0,0,255,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,3,1,0
Adam_Masina_386,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Adam_Smith_29,29,0,0,5,25,2,0,255,1,0,90,0,0,12,0,0,0,3,0,26,0,4,0,0,0,0,1
Ademola_Lookman_170,0,0,0,0,0,0,0,259,0,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0
Adrian_Mariappa_382,24,0,0,3,17,0,0,259,1,0,90,0,0,8,0,0,0,4,0,26,0,1,3,1,1,1,0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,0,258,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,1,0,0
Adrián_San Miguel del Castillo_399,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Ainsley_Maitland-Niles_20,51,1,0,4,32,4,1,254,1,3,90,0,0,10,0,0,0,12,0,26,0,4,2,0,2,0,1
Alberto_Moreno_240,0,0,0,0,0,0,0,255,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,3,1,0
Aleksandar_Mitrovic_480,28,0,1,2,20,0,0,253,2,1,90,0,0,14,0,0,0,1,0,26,0,2,1,1,0,1,1
Alexander_Sørloth_153,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Alexandre Nascimento_Costa Silva_560,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Alexandre_Lacazette_22,24,0,0,2,17,0,0,254,4,0,90,0,0,10,0,0,0,2,0,26,0,4,1,1,2,0,0
Alexis_Sánchez_295,8,0,1,1,3,1,0,253,1,1,20,0,1,9,0,0,0,2,0,26,0,2,0,0,3,0,0
Alex_Iwobi_15,33,0,1,1,20,2,0,254,0,1,87,0,1,10,0,0,0,4,0,26,0,7,0,2,2,0,0
Alex_McCarthy_328,21,0,0,0,16,0,0,257,0,0,90,0,0,5,0,0,0,7,0,26,1,0,0,0,1,1,0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0,0,0,255,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,3,1,0
